model,MAE,RMSE,MAPE_%,naive_t4_MAE,impr_MAE_%,impr_RMSE_%
base+fx+cpi+cargo,5509.2515625000015,6460.054065631965,7.084901788787186,15092.925000000003,63.49778745670571,63.496296990947535
base+fx+cpi,5967.8648437500015,7191.435683960084,7.728778068960786,15092.925000000003,60.459189694840454,59.363492975611784
base+fx,7785.393750000003,9948.95426128519,9.758592194394328,15092.925000000003,48.41693210560576,43.78163589423868
baseline,9914.971289062501,11110.350017755447,12.61394508829808,15092.925000000003,34.307158558977136,37.21895927583228
